"SOURCE_INVOICE_NUMBER","SOURCE_LINE_NUMBER","ITEM_TYPE","SOURCE_ITEM_TYPE","ITEM_CODE","DESCRIPTION","QUANTITY","UNIT_PRICE","DISCOUNT","TOTAL","VAT_AMOUNT","UNIT","CURRENCY"
II100199,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100199,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,3,15,0,45,2.25,LTR,AED
II100199,3,parts,M,PAR1201001330,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100200,1,service,L,M00000,CHECK FR BEARING SOUND,1,297,0,297,14.85,HRS,AED
II100200,2,service,S,SLI00510,BEARING FIXING CHARGES,1,32.05,0,32.05,1.6,NOS,AED
II100201,1,service,L,M00000,LUBE SERVICE,1,80,0,80,4,HRS,AED
II100201,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6,15,0,90,4.5,LTR,AED
II100201,3,parts,M,PAR1102000196,"OIL FILTER, INNOVA",1,15,0,15,0.75,PCS,AED
II100202,1,service,L,M00000,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100202,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,15,0,105,5.25,LTR,AED
II100202,3,parts,M,PAR9999002023,OIL FILTER,1,34.29,0,34.29,1.71,PCS,AED
II100203,1,service,L,M00000,AC GAS TOP UP,1,115,0,115,5.75,HRS,AED
II100203,2,service,C,"9999",AC GAS,1,35,0,35,1.75,NOS,AED
II100204,1,service,L,M00000,REPLACE ENGINE BELT,1,180,0,180,9,HRS,AED
II100204,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,15,0,105,5.25,LTR,AED
II100204,3,parts,M,PAR9999003436,OIL FILTER,1,41,0,41,2.05,PCS,AED
II100204,4,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100204,5,parts,M,PAR1101000971,COOLANT SUPER LONG,1,94,0,94,4.7,PCS,AED
II100204,6,parts,M,PAR1115000013,"BELT, V-RIBBED",1,310,0,310,15.5,PCS,AED
II100204,7,service,L,M00001,REPLACE COOLANT,1,180,0,180,9,HRS,AED
II100204,8,service,L,M00003,REPLACE SPARK PLUG,1,360,0,360,18,HRS,AED
II100204,9,service,L,M00006,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100205,1,service,L,M00000,REPLACE SPARK PLUG & COOLANT,1,540,0,540,27,HRS,AED
II100205,2,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100205,3,parts,M,PAR1101000457,COOLANT SUPER LONG 5LT TOYOTA,1,94,0,94,4.7,PCS,AED
II100206,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100206,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5,15,0,75,3.75,LTR,AED
II100206,3,parts,M,PAR1301000128,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100206,4,service,C,"9999",AC GAS,1,65,0,65,3.25,NOS,AED
II100206,5,service,L,M00002,AC GAS CHANING AND VACUMING,1,120.004,0,120,6,HRS,AED
II100207,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100207,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,15,0,60,3,LTR,AED
II100207,3,parts,M,PAR1901000005,OIL FILTER KIA/HYUNDAI,1,18,0,18,0.9,PCS,AED
II100208,1,service,L,M00000,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100208,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.5,15,0,97.5,4.88,LTR,AED
II100208,3,parts,M,PAR9999003436,OIL FILTER,1,37.02,0,37.02,1.85,PCS,AED
II100208,4,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100208,5,service,L,M00003,REPLACE SPARK PLUG,1,360,0,360,18,HRS,AED
II100210,1,service,L,M00000,LUBE SERVICE & GEAR REPLACE,1,100,0,100,5,HRS,AED
II100211,1,service,L,M00000,CAM SENSOR REP,1,180,0,180,9,HRS,AED
II100211,2,service,S,SLI00519,CAM SHAFT WIRING HARNESS REPAIR-ECM SYSTEM RESETTING,1,900,0,900,45,NOS,AED
II100212,1,service,L,M00000,REPLACE TIRE,1,20,0,20,1,HRS,AED
II100212,2,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,4,254.75,0,1019,50.95,PCS,AED
II100212,3,service,S,SLI00464,ALLOY WHEEL STICKER BALANCING,1,41,0,41,2.05,NOS,AED
II100213,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100213,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,1,10.925,0,10.93,0.55,LTR,AED
II100213,3,parts,M,PAR9999002023,OIL FILTER,5,30.498,0,152.5,7.63,PCS,AED
II100213,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.2,14.75,0,91.45,4.57,LTR,AED
II100213,5,parts,M,PAR9999002023,OIL FILTER,1,38.08,0,38.08,1.9,PCS,AED
II100213,6,service,R,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,1,-10.925,0,-10.93,-0.55,LTR,AED
II100213,7,service,R,PAR9999002023,OIL FILTER,5,-30.498,0,-152.5,-7.63,PCS,AED
II100214,1,service,L,M00000,CHECK COMPLETE BUSH & TIRE,1,360,0,360,18,HRS,AED
II100214,2,parts,M,PAR1121000024,LOWER ARM LHS,1,629,0,629,31.45,NOS,AED
II100214,3,parts,M,PAR1121000022,REAR BRAKE PAD,1,275,0,275,13.75,NOS,AED
II100214,4,parts,M,TYR9999005052,TYRE,2,424.5,0,849,42.45,NOS,AED
II100214,5,service,S,SLI00550,ALLOY WHEEL STICKER BALANCING,1,21,0,21,1.05,NOS,AED
II100214,6,parts,M,PAR1121000023,LOWER ARM RHS,1,629,0,629,31.45,NOS,AED
II100215,1,service,L,M00000,LUBE SERVICE,1,140,0,140,7,HRS,AED
II100215,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.5,14.75,0,95.88,4.79,LTR,AED
II100215,3,parts,M,PAR9999003436,OIL FILTER,1,43.45,0,43.45,2.17,PCS,AED
II100215,4,parts,M,PAR9999001665,OIL PAN DRIAN PLUGS GASKET,1,2.047,0,2.05,0.1,PCS,AED
II100215,5,parts,M,PAR1116000150,"AIR FILTER, LAND CRUISER",1,159,0,159,7.95,PCS,AED
II100215,6,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100215,7,parts,M,LUB9999002786,TRANSMISSION OIL (85W90),5,15,0,75,3.75,LTR,AED
II100215,8,parts,M,LUB9999002786,TRANSMISSION OIL (85W90),3,15,0,45,2.25,LTR,AED
II100215,9,parts,M,PAR9999002801,BRAKE FLUID HBF4 500 ML,2,15,0,30,1.5,PCS,AED
II100215,10,parts,M,PAR1101000971,COOLANT SUPER LONG,1,91,0,91,4.55,PCS,AED
II100215,11,parts,M,PAR1115000013,"BELT, V-RIBBED",1,318.5,0,318.5,15.93,PCS,AED
