"SOURCE_JOB_NUMBER","CREATED_AT","COMPLETED_AT","STATUS","SOURCE_STATUS","SOURCE_LOCATION_CODE","SOURCE_JOB_TYPE","SOURCE_SERVICE_TYPE","SERVICE_CATEGORY","SOURCE_CUSTOMER_ID","SOURCE_VEHICLE_ID","SOURCE_INVOICE_PARTY","SOURCE_INVOICE_NUMBER","OPENING_MILEAGE","SOURCE_SALESMAN","SOURCE_OPERATOR"
JCI12302,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,ACC,bodywork,,V0006550,A00115,II401161,99999916,,JESSIE
JCI12303,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,ACC,bodywork,,V0006550,A00115,II401142,99999917,,JESSIE
JCI12304,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018510,A00115,II210254,131204,,VPANKI
JCI12305,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018940,A00115,II210241,150483,,VPANKI
JCI12306,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,FRC,CNT,general_maintenance,,V0014479,A00095,II210361,61000,,JESSIE
JCI12307,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019452,A00115,II210322,83779,,SANJEB
JCI12308,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0012381,A00095,II210362,87734,,JESSIE
JCI12309,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010496,A00115,II210329,581468,,VPANKI
JCI12310,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0020573,A00095,II210234,16095,,VPANKI
JCI12311,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010689,A00115,II210332,461868,,VPANKI
JCI12312,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006766,A00115,II210201,864573,,SANJEB
JCI12313,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006972,A00115,II210488,871381,,SANJEB
JCI12314,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018589,A00115,II210224,144526,,VPANKI
JCI12315,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006772,A00115,II211213,889689,,SANJEB
JCI12316,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,FRC,CNT,general_maintenance,,V0016768,A00095,II210360,42082,,JESSIE
JCI12317,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011310,A00115,II210941,556772,,SANJEB
JCI12318,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011801,A00095,II210245,106372,,VPANKI
JCI12319,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0009323,Q00001,II301229,599038,,JESSIE
JCI12320,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0019182,Q00001,II301226,83569,,JESSIE
JCI12321,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0011837,A00115,II210324,509915,,VPANKI
JCI12322,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006440,A00115,II210228,867721,,VPANKI
JCI12323,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,FAL,bodywork,,V0006841,A00115,II401148,832931,,JESSIE
JCI12324,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0014493,A00115,II210240,361885,,VPANKI
JCI12325,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0007059,A00115,II210458,734876,,SANJEB
JCI12326,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0009326,A00115,II210247,666252,,VPANKI
JCI12327,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,NFL,bodywork,,V0018911,Q00001,II301224,151966,,JESSIE
JCI12328,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,BDY,FAL,bodywork,,V0019041,A00115,II401149,109331,,JESSIE
JCI12329,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0010853,A00095,II210952,136160,,SANJEB
JCI12330,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0009946,A00095,II211685,116959,,JESSIE
JCI12331,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0006537,A00115,II210229,836366,,VPANKI
JCI12332,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018146,A00115,II210272,130838,,VPANKI
JCI12333,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0018732,A00115,II210374,124144,,VPANKI
JCI12334,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0009823,A00095,II210363,34244,,JESSIE
JCI12335,2026-06-04 00:00:00.000,2026-06-04 00:00:00.000,completed,CLO,ADH,MEC,MEC,general_maintenance,,V0019121,A00115,II210212,148369,,SANJEB
