"SOURCE_VEHICLE_ID","SOURCE_CUSTOMER_ID","PLATE_NUMBER","TAXI_CODE","MAKE","MODEL","VEHICLE_YEAR","TRANSMISSION","FUEL_TYPE","COLOR","MILEAGE","SOURCE_PARTY_CODE"
V0000711,,"35421",'-,TOY,Camry,2016,automatic,petrol,White,636335,A00152
V0000779,,"76619","76619",TOY,Camry,2014,automatic,petrol,Silver,529755,E00038
V0001013,,"85961",'-,TOY,Camry,2015,automatic,petrol,White,618807,A00005
V0001018,,"5255",AD5255,TOY,Camry,2022,automatic,other,Silver,697917,A00115
V0001316,,"34077",'-,TOY,Camry,2016,automatic,petrol,White,679615,A00152
V0001439,,"35480",E091,TOY,Camry,2016,automatic,petrol,White,703024,A00152
V0001448,,"64991",'-,TOY,Camry,2016,automatic,petrol,White,638380,A00152
V0001627,,"57472","57472",TOY,Coaster,2014,automatic,petrol,White,615742,E00038
V0001628,,"35470","35470",TOY,Coaster,2013,automatic,petrol,White,598429,E00038
V0001660,,"5990","5990",TOY,Camry,2020,automatic,other,Silver,964106,E00038
V0001683,,"5904","5904",TOY,Camry,2020,automatic,other,Silver,980306,E00038
V0001684,,"5906","5906",TOY,Camry,2020,automatic,other,Silver,947401,E00038
V0001696,,"5663","5663",TOY,Camry,2020,automatic,other,Silver,963000,E00038
V0001699,,"5085","5085",TOY,Camry,2020,automatic,other,Silver,934117,E00038
V0001711,,"5890","5890",TOY,Camry,2020,automatic,other,Silver,973314,E00038
V0001733,,"5880","5880",TOY,Camry,2020,automatic,other,Silver,913560,E00038
V0001736,,"5193","5193",TOY,Camry,2020,automatic,other,Silver,889918,E00038
V0001744,,"5872","5872",TOY,Camry,2020,automatic,other,Silver,976677,E00038
V0001746,,"5987","5987",TOY,Camry,2020,automatic,other,Silver,948555,E00038
V0001748,,"5895","5895",TOY,Camry,2020,automatic,other,Silver,920994,E00038
V0001749,,"6081","6081",TOY,Camry,2020,automatic,other,Silver,953530,E00038
V0001751,,"5675","5675",TOY,Camry,2020,automatic,other,Silver,914916,E00038
V0001755,,"9315","9315",TOY,Camry,2020,automatic,other,Silver,974059,E00038
V0001756,,"5108","5108",TOY,Camry,2020,automatic,other,Silver,869026,E00038
V0001767,,"5883","5883",TOY,Camry,2020,automatic,other,Silver,927634,E00038
V0001768,,"5864","5864",TOY,Camry,2020,automatic,other,Silver,947108,E00038
V0001780,,"5875","5875",TOY,Camry,2020,automatic,other,Silver,928370,E00038
V0001786,,"5232","5232",TOY,Camry,2020,automatic,other,Silver,920222,E00038
V0001802,,"5919","5919",TOY,Camry,2020,automatic,other,Silver,833983,E00038
V0001824,,"5097","5097",TOY,Camry,2020,automatic,other,Silver,944258,E00038
V0001826,,"89999",'-,HYN,H1,2019,manual,petrol,White,299222,A00152
V0001830,,"84756","84756",NIS,Sunny,2018,automatic,petrol,White,345776,E00038
V0001831,,"84754","84754",NIS,Sunny,2018,automatic,petrol,White,246840,E00038
V0001835,,"32694","32694",NIS,Sunny,2017,automatic,petrol,White,314477,E00038
V0001836,,"84752","84752",NIS,Sunny,2018,automatic,petrol,White,277110,E00038
V0001837,,"84751","84751",NIS,Sunny,2018,automatic,petrol,White,226548,E00038
V0001884,,"94378","94378",TOY,Innova,2017,automatic,other,Silver,10000010,E00038
V0001908,,"34024",'-,TOY,Innova,2016,manual,petrol,White,253319,A00152
V0003272,,"55493","110295",ASH,Falcon,2016,manual,diesel,Unknown color,172508,A00095
V0004974,"2497","45603",'-,NIS,Sunny,2023,automatic,petrol,Silver Grey,77427,C00002
V0005662,,"78067","10413145",NIS,Civilian,,manual,petrol,White,214519,A00152
V0005980,"808","55836","55836",MIT,Pajero,2016,automatic,petrol,Black,386776,C00002
V0006065,,"64990",'--,MIT,Rosa,2011,manual,diesel,White,2991270,E00037
V0006206,,"45901","45901",MIT,Rosa,2009,manual,diesel,White,283321,P00012
V0006244,,"9195",AD9195,TOY,Camry,2020,automatic,petrol,Silver Grey,864066,E00038
V0006261,,"5167",AD5167,TOY,Camry,2020,automatic,petrol,Silver/White,885148,E00038
V0006295,,"9197",AD9197,TOY,Camry,2020,automatic,diesel,Silver Grey,932373,E00038
V0006315,,"5165",AD5165,TOY,Camry,2020,automatic,petrol,Silver/White,964731,E00038
V0006317,,"5166",AD5166,TOY,Camry,2020,automatic,petrol,Silver/White,893715,E00038
V0006368,,"5169",AD5169,TOY,Camry,2020,automatic,petrol,White,861587,E00038
V0006424,,"9215",AD9215,TOY,Camry,2020,manual,diesel,Silver/White,891067,E00038
V0006440,,"9200",AD9200,TOY,Camry,2020,manual,diesel,Silver/White,907015,E00038
V0006441,,"9204",AD9204,TOY,Camry,2020,manual,diesel,Silver/White,859291,E00038
V0006454,,"9194",AD9194,TOY,Camry,2020,manual,diesel,Silver/White,830254,E00038
V0006468,,"9199",AD9199,TOY,Camry,2020,automatic,petrol,Silver/White,896692,E00038
V0006470,,"9210",AD9210,TOY,Camry,2020,manual,diesel,Silver/White,886855,E00038
V0006484,,"9249",AD9249,TOY,Camry,2021,automatic,petrol,Silver/White,896100,E00038
V0006488,,"9239",AD9239,TOY,Camry,2020,automatic,diesel,Silver/White,899565,E00038
V0006517,,"9225",AD9225,TOY,Camry,2020,automatic,diesel,Silver/Beige,846079,E00038
V0006537,,"9241",AD9241,TOY,Camry,2020,automatic,diesel,Silver/Beige,884010,E00038
V0006540,,"9227",AD9227,TOY,Camry,2020,automatic,diesel,Silver/Beige,929969,E00038
