"SOURCE_JOB_NUMBER","SOURCE_LINE_NUMBER","ITEM_CODE","NAME","QUANTITY","UNIT_PRICE","SOURCE_TYPE"
JCI12302,1,B00000,NON STANDAND BODYSHOP,1.22,95,Labor
JCI12302,2,PAR9999005917,BRAINDING STICKER,5,10.5,Part
JCI12302,3,PAR9999005914,AMAN TAXI DOOR LOGO,2,10.5,Part
JCI12302,4,PAR9999005913,AMAN TAXI BUMPER LOGO,2,10.5,Part
JCI12302,5,PAR9999005926,AD-STICKER,1,2.1,Part
JCI12302,6,PAR9999005927,NUMBER STICKER FENDER SIDE,4,0.536,Part
JCI12302,7,PAR9999005910,COMMENTS WITH CALL CENTER NUMBER,1,10.5,Part
JCI12302,8,"9999",Labour EXCESS,1,19.84,O
JCI12303,1,B00000,"3 DOOR REPAIR",5,95,Labor
JCI12303,2,"9999",PAINT AND THINNERS,1,70,Consumable
JCI12303,3,"9999",Labour EXCESS,1,55,O
JCI12304,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12304,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12304,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12304,4,PAR1101003479,HYBRID BATTERY FILTER,1,19.205,Part
JCI12304,5,"9999",CONSUMABLES,1,10,Consumable
JCI12305,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12305,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12305,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12305,4,"9999",CONSUMABLES,1,10,Consumable
JCI12305,5,M00000,"2 OLD TYRE R/R",0.3,100,Labor
JCI12306,1,M01999,Lube Service contract,0.75,95,Labor
JCI12306,2,LUB1101000797,"15W40 RUBIA WORKS 1000 DIESEL ENGINE OIL(BULK)",9,7.98,Part
JCI12306,3,PAR1302000283,OIL FILTER,1,58.8,Part
JCI12306,4,"9999",CONSUMABLES,1,10,Consumable
JCI12306,5,"9999",SERVICE CONTRACT DIFF,1,73.13,O
JCI12307,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12307,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12307,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12307,4,PAR1101000871,AC FILTER,1,5.5,Part
JCI12307,5,PAR1101002679,AIR FILTER,1,5.5,Part
JCI12307,6,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI12307,7,"9999",CONSUMABLES,1,10,Consumable
JCI12307,8,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI12308,1,M00000,RADIATO FAN REP,1.2,150,Labor
JCI12309,1,M10004,R/R AC FILTER,0.25,95,Labor
JCI12309,2,PAR1101000426,A/C COMPRESSOR (DENSO-JPN) T.CAMRY 2020,1,1100,Part
JCI12309,3,PAR1101000367,AC CONDENSOR ASSY,1,228.102,Part
JCI12309,4,PAR1101000381,EXPANSION VALVE,1,51.324,Part
JCI12309,5,PAR9999001410,CONDENSOR PIPING CLAMP,1,18.344,Part
JCI12309,6,PAR9999005251,BULB 12 V 21W (7504 -OSRAM) SINGAL FILIMENT,2,3.5,Part
JCI12309,7,PAR1101000871,AC FILTER,1,5.5,Part
JCI12309,8,M10001,R/R AC COMPRESSOR,2,95,Labor
JCI12309,9,M10002,R/R AC CONDENSOR,1.5,95,Labor
JCI12309,10,"9999",AC GAS,0.5,35,Consumable
JCI12309,11,M10019,AC SYSTEM CLEANING,1,95,Labor
JCI12309,12,"9999",CLEANING GAS,2,25,Consumable
JCI12309,13,M10003,R/R AC EXPANSION VALVE,1,95,Labor
JCI12309,14,M10008,AC GAS AND OIL CHARGING,1.92,95,Labor
JCI12310,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,120,Labor
JCI12310,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,12.5,Part
JCI12310,3,PAR1518000009,OIL FILTER,1,25,Part
JCI12310,4,"9999",CONSUMABLES,1,10,Consumable
JCI12311,1,M04012,R/R FRONT RHS BALL JOINT,1,95,Labor
JCI12311,2,PAR1101003224,"BALL JOINT ,FT -CAMRY 2019-24",1,25.2,Part
JCI12311,3,PAR1101003045,"MOUNT,FT SHOCK",1,75.5,Part
JCI12311,4,M04005,R/R FRONT RHS SHOCK MOUNTING,1.5,95,Labor
JCI12311,5,M00008,HEATER UP HOSE REPAIR,0.5,95,Labor
JCI12311,6,M00005,LHS RACK END REMOVE AND REPAIR AND REFIX,1,95,Labor
JCI12311,7,T16002,WHEEL ALIGNMENT,1,80,Labor
